Date,type_of_car,Base_Loss_USD,flood_risk_flag,Prob_Cover_Deploy,Depreciation_Timeline_months,Expected_Loss_USD
01/01/2015,Convertible,61507,1,0.6,72,55754.86
02/01/2015,Crossover,46035,0,0.49,35,31445.37
03/01/2015,Hatchback,19041,0,0.66,13,16110.42
04/01/2015,Hatchback,26375,0,0.23,70,17520.51
05/01/2015,Truck,47876,0,0.39,14,40832.93
06/01/2015,Convertible,75288,0,0.87,71,65137.28
07/01/2015,Crossover,40392,0,0.2,71,24333.66
08/01/2015,Wagon,37315,0,0.43,61,30673.56
09/01/2015,SUV,35423,0,0.58,65,25477.57
10/01/2015,SUV,39446,0,0.5,25,32861.39
11/01/2015,Wagon,34670,0,0.01,51,25813.77
12/01/2015,SUV,35320,1,0.47,71,25451.91
13/01/2015,Pickup,79347,1,0.06,82,52409.75
14/01/2015,Sedan,23367,0,0.18,19,14528.89
15/01/2015,Sedan,29983,1,0.63,39,26777.48
16/01/2015,Wagon,40064,0,0.0,34,29266.58
17/01/2015,Hatchback,28532,1,0.35,58,23973.31
18/01/2015,Sedan,21168,0,0.64,38,17979.3
19/01/2015,Crossover,46100,1,0.41,15,40922.36
20/01/2015,Convertible,53741,0,0.76,47,38875.09
21/01/2015,Convertible,54715,0,0.68,53,38516.45
22/01/2015,Pickup,81799,1,0.79,55,71600.03
23/01/2015,Crossover,37917,1,0.31,12,32351.24
24/01/2015,Pickup,67599,0,0.45,81,49611.47
25/01/2015,Pickup,42795,0,0.36,35,30103.38
26/01/2015,Coupe,73829,0,0.48,73,45364.63
27/01/2015,Van,50413,0,0.33,67,33065.14
28/01/2015,Sedan,24113,0,0.15,12,17768.38
29/01/2015,SUV,38441,0,0.68,43,34013.32
30/01/2015,Convertible,45890,0,0.21,49,28909.92
31/01/2015,Van,36169,0,0.52,27,25249.61
01/02/2015,Coupe,55982,1,0.4,47,45938.53
02/02/2015,Truck,53354,0,0.03,44,31456.7
03/02/2015,Convertible,47325,1,0.58,68,34939.71
04/02/2015,Convertible,68446,1,0.3,27,58735.26
05/02/2015,Pickup,59082,0,0.14,59,46062.17
06/02/2015,Hatchback,25752,0,0.34,59,18975.29
07/02/2015,Van,34476,0,0.78,83,30444.54
08/02/2015,Wagon,53044,0,0.04,36,29630.87
09/02/2015,SUV,46092,0,0.64,52,28453.21
10/02/2015,Van,56316,0,0.25,19,33511.34
11/02/2015,Sedan,27774,0,0.27,33,16910.54
12/02/2015,Coupe,44039,0,0.65,38,31579.87
13/02/2015,Sedan,29996,0,0.34,72,21357.57
14/02/2015,Van,34584,1,0.01,55,24384.33
15/02/2015,Hatchback,30635,0,0.08,35,17674.74
16/02/2015,Hatchback,34133,1,0.61,74,30044.27
17/02/2015,Convertible,64008,0,0.33,36,41580.57
18/02/2015,Coupe,42957,1,0.21,43,29029.07
19/02/2015,Convertible,46788,0,0.17,28,38032.49
20/02/2015,Pickup,53039,0,0.16,37,36598.29
21/02/2015,N/A,51271,1,0.4,68,44442.49
22/02/2015,Van,30756,0,0.27,25,24726.83
23/02/2015,Convertible,68688,0,0.21,74,37325.67
24/02/2015,Pickup,88352,1,0.74,69,76798.59
25/02/2015,Van,34698,1,0.48,71,27191.44
26/02/2015,Wagon,48136,0,0.92,79,44104.5
27/02/2015,Van,33587,0,0.25,27,26538.35
28/02/2015,Crossover,39206,0,0.26,66,22027.47
01/03/2015,Crossover,37847,0,0.36,23,21936.99
02/03/2015,MISC_VEHICLE,45575,0,0.27,59,26785.31
03/03/2015,Hatchback,30538,1,0.62,74,30324.71
04/03/2015,Convertible,53234,0,0.38,68,30564.73
05/03/2015,Hatchback,30962,0,0.84,80,23813.81
06/03/2015,Crossover,31859,1,0.46,34,23282.59
07/03/2015,Coupe,73943,1,0.16,21,59297.79
08/03/2015,Crossover,37367,1,0.49,15,29487.34
09/03/2015,Convertible,73383,1,0.65,35,58229.45
10/03/2015,Truck,45285,0,0.77,54,37693.0
11/03/2015,Truck,51328,0,0.17,40,27397.44
12/03/2015,SUV,43460,0,0.41,19,26874.97
13/03/2015,Crossover,37793,0,0.33,18,20942.76
14/03/2015,Hatchback,23114,0,0.7,47,18666.83
15/03/2015,Pickup,84758,0,0.41,60,61226.11
16/03/2015,Van,36821,0,0.63,34,25353.06
17/03/2015,Hatchback,32073,0,0.68,41,22642.69
18/03/2015,Van,45244,0,0.21,30,26863.64
19/03/2015,Pickup,63319,0,0.38,63,43133.94
20/03/2015,Hatchback,22457,0,0.64,64,15809.3
21/03/2015,Pickup,39751,0,0.57,50,33152.31
22/03/2015,Error,36366,0,0.4,29,25409.61
23/03/2015,Pickup,64348,1,0.86,18,62805.19
24/03/2015,Wagon,32851,0,0.62,77,22210.95
25/03/2015,Hatchback,31125,1,0.75,28,30774.05
26/03/2015,Pickup,39719,1,0.41,42,35826.85
27/03/2015,Coupe,67777,0,0.71,50,54635.02
28/03/2015,SUV,43894,0,0.61,83,35788.31
29/03/2015,Pickup,79593,0,0.63,73,53056.05
30/03/2015,Sedan,32026,1,0.3,17,21235.32
31/03/2015,Hatchback,30523,0,0.49,31,18256.79
01/04/2015,Pickup,75390,0,0.69,65,58538.5
02/04/2015,Convertible,70606,1,0.62,27,61070.83
03/04/2015,Wagon,30951,0,0.11,47,19096.49
04/04/2015,Crossover,35203,0,0.29,52,18687.33
05/04/2015,Coupe,78311,0,0.75,40,55052.61
06/04/2015,Truck,64229,1,0.53,80,48356.37
07/04/2015,SUV,35788,1,0.57,16,29991.93
08/04/2015,Sedan,34877,0,0.84,22,30807.07
09/04/2015,Pickup,58522,1,0.36,44,49828.64
10/04/2015,Truck,52642,0,0.22,17,34347.1
11/04/2015,Hatchback,28012,1,0.45,64,23199.23
12/04/2015,Crossover,41921,0,0.12,12,31743.13
13/04/2015,Van,52560,1,0.65,45,38184.05
14/04/2015,Wagon,53861,0,0.39,14,44181.81
15/04/2015,Sedan,21753,1,0.21,68,16858.94
16/04/2015,Convertible,57947,1,0.6,62,46799.75
17/04/2015,SUV,40116,0,0.61,62,37273.84
18/04/2015,Van,58181,0,0.8,41,51614.65
19/04/2015,Truck,55346,1,0.17,67,45229.68
20/04/2015,Sedan,26306,0,0.12,17,13825.58
21/04/2015,Truck,50816,0,0.28,27,36437.28
22/04/2015,Wagon,39040,0,0.73,38,28625.57
23/04/2015,SUV,49224,0,0.0,16,28234.97
24/04/2015,???,30965,0,0.58,16,20504.29
25/04/2015,Crossover,38747,0,0.45,84,27062.5
26/04/2015,Pickup,83590,0,0.61,74,68355.25
27/04/2015,Sedan,31735,0,0.11,58,19369.34
28/04/2015,Coupe,45857,0,0.23,13,39403.38
29/04/2015,Unknown,33657,0,0.55,29,23088.1
30/04/2015,Truck,47602,0,0.16,39,25481.47
01/05/2015,Pickup,71556,0,0.45,36,55193.88
02/05/2015,Van,35665,0,0.58,29,28817.57
03/05/2015,Coupe,53368,0,0.4,53,43594.94
04/05/2015,Coupe,57751,0,0.55,67,46288.6
05/05/2015,Coupe,39314,1,0.03,32,27617.44
06/05/2015,Convertible,51159,0,0.09,73,40724.49
07/05/2015,Wagon,57885,0,0.45,51,44598.63
08/05/2015,Wagon,35248,1,0.44,15,23244.8
09/05/2015,Coupe,57446,0,0.62,77,46370.76
10/05/2015,Wagon,42612,0,0.62,81,35585.98
11/05/2015,MISC_VEHICLE,55604,0,0.67,23,39703.18
12/05/2015,Crossover,43038,0,0.54,22,36137.49
13/05/2015,Truck,61313,0,0.61,21,38693.93
14/05/2015,Wagon,29753,0,0.59,28,21729.62
15/05/2015,Wagon,55009,1,0.16,80,38611.84
16/05/2015,SUV,48401,1,0.7,45,41559.84
17/05/2015,Truck,63920,0,0.58,75,52201.17
18/05/2015,Pickup,70945,0,0.1,16,40797.5
19/05/2015,Crossover,45056,1,0.37,51,34300.07
20/05/2015,Wagon,35659,0,0.29,34,26632.32
21/05/2015,Sedan,21709,0,0.42,77,18571.55
22/05/2015,Wagon,54007,0,0.31,17,35134.12
23/05/2015,Truck,58598,1,0.58,38,46559.8
24/05/2015,Coupe,73219,0,0.17,66,44584.8
25/05/2015,Van,47850,0,0.38,49,37998.88
26/05/2015,Van,34011,0,0.54,19,27001.7
27/05/2015,Van,30208,1,0.12,47,22224.63
28/05/2015,Hatchback,24453,0,0.73,49,18894.19
29/05/2015,Convertible,44420,0,0.59,24,28028.92
30/05/2015,???,35776,0,0.64,54,24537.35
31/05/2015,Van,47717,0,0.89,83,36925.39
01/06/2015,???,31357,0,0.18,62,18676.46
02/06/2015,Wagon,30602,1,0.41,57,21337.58
